                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                 1.1355,                  1.018,                 1.0383,                0.39318,                0.45815,                0.36673,                0.19136,                 1.7179,                 1.3304,                 1.3906,             0.00033175,             0.00033175,             0.00033175
                    137,                 1.1321,                 1.0056,                 1.0387,                0.40836,                0.44763,                0.36169,                0.18882,                 1.7277,                 1.3511,                 1.3941,              0.0003268,              0.0003268,              0.0003268
                    138,                 1.1179,                0.99357,                 1.0296,                0.41224,                0.42091,                 0.3653,                0.19197,                 1.7168,                 1.3215,                  1.381,             0.00032185,             0.00032185,             0.00032185
                    139,                 1.1282,                 1.0437,                 1.0336,                0.39163,                0.49907,                0.36645,                0.19088,                 1.7133,                 1.3119,                 1.3836,              0.0003169,              0.0003169,              0.0003169
                    140,                 1.1222,                0.98244,                 1.0404,                0.41121,                0.45465,                0.36631,                0.19007,                   1.71,                 1.3222,                 1.3747,             0.00031195,             0.00031195,             0.00031195
                    141,                 1.1166,                0.99142,                 1.0264,                0.43679,                0.43987,                0.37069,                0.19269,                 1.7129,                 1.3354,                 1.3801,               0.000307,               0.000307,               0.000307
                    142,                  1.109,                 1.0194,                 1.0364,                0.42126,                0.42157,                0.35588,                0.18887,                 1.7145,                 1.3593,                 1.3815,             0.00030205,             0.00030205,             0.00030205
                    143,                 1.1004,                 1.0064,                 1.0213,                0.42129,                0.42569,                0.36119,                0.19074,                 1.7226,                  1.329,                 1.3928,              0.0002971,              0.0002971,              0.0002971
                    144,                 1.1083,                 1.0335,                 1.0256,                0.41782,                0.44032,                 0.3582,                0.18896,                 1.7174,                 1.3394,                 1.3902,             0.00029215,             0.00029215,             0.00029215
                    145,                 1.1005,                0.97805,                 1.0277,                0.43614,                0.42668,                0.36295,                0.18982,                 1.7081,                 1.3554,                  1.386,              0.0002872,              0.0002872,              0.0002872
